candidate_id,mhz,k,badness,quality_score,uncertainty,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
2759,200.0,6,58.184690315576745,-58.184690315576745,58.184690315576745,15.687631593825188,42.49705872175156,7.354674339294434,worst_uncertainty_stratified_mhz
3049,285.0,6,57.73062028735205,-57.73062028735205,57.73062028735205,16.1410249004714,41.58959538688065,7.9519152243932085,worst_uncertainty_stratified_mhz
3293,90.0,7,48.255829019953055,-48.255829019953055,48.255829019953055,5.28523183743508,42.97059718251798,6.558812697728475,worst_uncertainty_stratified_mhz
3790,90.0,7,48.13113571592044,-48.13113571592044,48.13113571592044,6.463135737253094,41.667999978667346,6.610005696614583,worst_uncertainty_stratified_mhz
3807,100.0,7,70.79932950612081,-70.79932950612081,70.79932950612081,27.828732323602836,42.97059718251798,8.577470143636068,worst_uncertainty_stratified_mhz
3729,200.0,7,62.030021958107895,-62.030021958107895,62.030021958107895,19.17983072295833,42.850191235149566,6.5811712344487505,worst_uncertainty_stratified_mhz
3899,265.0,7,46.685000481365364,-46.685000481365364,46.685000481365364,2.606787168109476,44.07821331325589,7.943630854288737,worst_uncertainty_stratified_mhz
3572,265.0,7,46.67181385880408,-46.67181385880408,46.67181385880408,3.8219467515292727,42.849867107274804,9.425097227096558,worst_uncertainty_stratified_mhz
3305,435.0,7,44.93008635838872,-44.93008635838872,44.93008635838872,0.7344983432938221,44.1955880150949,3.6987372636795044,worst_uncertainty_stratified_mhz
3401,435.0,7,44.74900324988648,-44.74900324988648,44.74900324988648,4.030457106881811,40.718546143004666,4.691897432009379,worst_uncertainty_stratified_mhz
3258,510.0,7,63.32726398694872,-63.32726398694872,63.32726398694872,29.82228923194654,33.50497475500218,15.73568312327067,worst_uncertainty_stratified_mhz
3875,510.0,7,60.109502071918335,-60.109502071918335,60.109502071918335,26.799510244306674,33.30999182761166,16.004570643107098,worst_uncertainty_stratified_mhz
3484,250.0,7,123.32428026995171,-123.32428026995171,123.32428026995171,80.63548392555552,42.68879634439619,11.526183485984802,worst_uncertainty_stratified_mhz
3322,10.0,7,76.72785406660654,-76.72785406660654,76.72785406660654,47.02936925677155,29.698484809834994,26.829057534535725,worst_uncertainty_stratified_mhz
3203,295.0,7,65.5329268958165,-65.5329268958165,65.5329268958165,27.99590813063247,37.53701876518403,6.301604827245076,worst_uncertainty_stratified_mhz
3821,10.0,7,64.30884490351946,-64.30884490351946,64.30884490351946,40.83013113977167,23.47871376374779,28.2552391688029,worst_uncertainty_stratified_mhz
3495,250.0,7,63.0102409837945,-63.0102409837945,63.0102409837945,25.166997054248625,37.84324392954588,8.78917638460795,worst_uncertainty_stratified_mhz
3777,250.0,7,60.24602880275348,-60.24602880275348,60.24602880275348,22.709010037569456,37.53701876518402,5.7658735911051435,worst_uncertainty_stratified_mhz
3919,250.0,7,57.622730539207836,-57.622730539207836,57.622730539207836,16.037142757969125,41.585587781238715,8.0270303885142,worst_uncertainty_stratified_mhz
3830,510.0,7,57.61784284524589,-57.61784284524589,57.61784284524589,24.818367917199314,32.79947492804657,16.63166157404582,worst_uncertainty_stratified_mhz
3366,510.0,7,57.1269985184387,-57.1269985184387,57.1269985184387,19.32304516843985,37.80395334999885,14.514765898386637,worst_uncertainty_stratified_mhz
3391,510.0,7,57.064273428174815,-57.064273428174815,57.064273428174815,29.700469274187427,27.36380415398739,16.98460515340169,worst_uncertainty_stratified_mhz
3928,510.0,7,56.76578263063709,-56.76578263063709,56.76578263063709,22.950516518683724,33.81526611195337,16.518185138702393,worst_uncertainty_stratified_mhz
3437,510.0,7,55.898134091180886,-55.898134091180886,55.898134091180886,22.050025658885232,33.84810843229565,15.423172156016031,worst_uncertainty_stratified_mhz
3336,510.0,7,55.483408375218744,-55.483408375218744,55.483408375218744,16.417580739177435,39.06582763604131,14.100155512491861,worst_uncertainty_stratified_mhz
3279,510.0,7,54.64446763239187,-54.64446763239187,54.64446763239187,26.136184235767967,28.508283396623906,15.470595359802246,worst_uncertainty_stratified_mhz
3665,200.0,7,54.556646145092074,-54.556646145092074,54.556646145092074,11.745043356439865,42.81160278865221,4.9422866106033325,worst_uncertainty_stratified_mhz
3697,510.0,7,54.49421030187996,-54.49421030187996,54.49421030187996,21.179215346321445,33.31499495555851,14.257349014282227,worst_uncertainty_stratified_mhz
3860,510.0,7,54.34357889626783,-54.34357889626783,54.34357889626783,16.36222382126645,37.98135507500138,16.639182567596436,worst_uncertainty_stratified_mhz
3499,510.0,7,54.081579884693326,-54.081579884693326,54.081579884693326,25.57329648806942,28.508283396623906,15.842317422231039,worst_uncertainty_stratified_mhz
3477,310.0,7,53.791774015270406,-53.791774015270406,53.791774015270406,10.821176832752428,42.97059718251798,5.064630031585693,worst_uncertainty_stratified_mhz
3799,510.0,7,53.34934310366428,-53.34934310366428,53.34934310366428,21.345871069801735,32.00347203386255,14.729084968566895,worst_uncertainty_stratified_mhz
