K,n_train,n_gen,baseline_combined_median,combined_p10,combined_median,combined_p90,median_ratio_gen_over_base,hm_median,imp_median,ham_median,occ_exact,occ_exact_rate,nn_mode_frac,nn_mode_sample,gen_nn_percentile_p10,gen_nn_percentile_median,gen_nn_percentile_p90,mem_suspect_rate_p01,mem_suspect_rate_p05,mem_suspect_rate_p10,train_to_gen_combined_median,train_to_gen_cov_at_base_p90,train_occ_unique,gen_occ_unique,gen_occ_new_unique,gen_occ_new_rate,gen_occ_in_train_unique,train_occ_covered_rate,max_possible_train_coverage_rate,gen_occ_repeat_rate,gen_occ_mode_frac,occ_jsd,train_occ_entropy,gen_occ_entropy,combo_space,combo_space_log10,train_combo_space_rate,gen_combo_space_rate,gen_in_train_combo_space_rate,gen_occ_in_train_samples,gen_occ_in_train_sample_rate,expected_in_train_samples_uniform,expected_in_train_sample_rate_uniform,in_train_sample_rate_over_uniform
11,620,520,0.25678080320358276,4.083302593231201,4.224668025970459,4.355102825164795,16.452429361010402,4.023998737335205,0.012417219579219818,10.0,0,0.0,0.013461538461538462,sample_25155,1.0,1.0,1.0,0.0,0.0,0.0,4.052980184555054,0.0,620,520,520,1.0,0,0.0,0.8387096774193549,0.0,0.0019230769230769232,1.0,9.276124405274238,9.022367813028453,60403728840,10.781063749294146,1.0264266989911877e-08,8.608740056055123e-09,0.0,0,0.0,5.3374188347541755e-06,1.0264266989911877e-08,0.0
12,599,520,0.26772645115852356,4.072893524169922,4.233871698379517,4.363395261764526,15.814170322201738,4.017352819442749,0.01203218288719654,10.0,0,0.0,0.015384615384615385,sample_385,1.0,1.0,1.0,0.0,0.0,0.0,4.011798858642578,0.0,599,520,520,1.0,0,0.0,0.8681135225375626,0.0,0.0019230769230769232,1.0,9.226412192788786,9.022367813028453,206379406870,11.314666359966257,2.902421365990817e-09,2.5196312359185722e-09,0.0,0,0.0,1.5092591103152248e-06,2.902421365990817e-09,0.0
13,592,520,0.2762940227985382,4.078422498703003,4.221041440963745,4.351377773284912,15.27735344474516,3.9914743900299072,0.011813869699835777,12.0,0,0.0,0.011538461538461539,sample_10559,1.0,1.0,1.0,0.0,0.0,0.0,4.086809873580933,0.0,592,520,520,1.0,0,0.0,0.8783783783783784,0.0,0.0019230769230769232,1.0,9.209453365628951,9.022367813028453,635013559600,11.802782998987382,9.322635572898717e-10,8.18880151673536e-10,0.0,0,0.0,4.847770497907333e-07,9.322635572898717e-10,0.0
14,593,520,0.2869326323270798,4.01629147529602,4.180908679962158,4.335609722137451,14.571046332563052,3.9397008419036865,0.012043213937431574,12.0,0,0.0,0.021153846153846155,sample_5718,1.0,1.0,1.0,0.0,0.0,0.0,3.9948294162750244,0.0,593,520,520,1.0,0,0.0,0.8768971332209107,0.0,0.0019230769230769232,1.0,9.211888294546004,9.022367813028453,1768966344600,12.247719570335644,3.352240147531408e-10,2.939569775238334e-10,0.0,0,0.0,1.7431648767163323e-07,3.352240147531408e-10,0.0
15,628,520,0.29349811375141144,4.016961002349854,4.177008628845215,4.318754625320435,14.231807405696241,3.930891275405884,0.010863795410841703,12.0,0,0.0,0.011538461538461539,sample_9036,1.0,1.0,1.0,0.0,0.0,0.0,3.973802328109741,0.0,628,520,520,1.0,0,0.0,0.8280254777070064,0.0,0.0019230769230769232,1.0,9.294620748891628,9.022367813028453,4481381406320,12.651411907896772,1.401353607426372e-10,1.1603564902256583e-10,0.0,0,0.0,7.287038758617134e-08,1.401353607426372e-10,0.0
16,588,520,0.3079073280096054,4.020116853713989,4.204853057861328,4.359097290039062,13.656229246126141,3.9490115642547607,0.01071867160499096,12.0,0,0.0,0.013461538461538462,sample_11222,1.0,1.0,1.0,0.0,0.0,0.0,3.985451340675354,0.0,588,520,520,1.0,0,0.0,0.8843537414965986,0.0,0.0019230769230769232,1.0,9.199672344836365,9.022367813028453,10363194502115,13.015493649307842,5.6739261226834685e-11,5.017757795570414e-11,0.0,0,0.0,2.9504415837954035e-08,5.6739261226834685e-11,0.0
17,590,520,0.31236521899700165,4.050060892105103,4.2122862339019775,4.370847940444946,13.485132075291682,3.9474191665649414,0.011660687625408173,14.0,0,0.0,0.009615384615384616,sample_3198,1.0,1.0,1.0,0.0,0.0,0.0,3.7290090322494507,0.0,590,520,520,1.0,0,0.0,0.8813559322033898,0.0,0.0019230769230769232,0.9999999999999999,9.2045711442492,9.022367813028453,21945588357420,13.341347228696856,2.688467451365986e-11,2.36949673679714e-11,0.0,0,0.0,1.3980030747103127e-08,2.688467451365986e-11,0.0
18,597,520,0.3210471421480179,3.991524076461792,4.192108392715454,4.370821905136109,13.057610058969765,3.918170928955078,0.010516608133912086,14.0,0,0.0,0.011538461538461539,sample_2644,1.0,1.0,1.0,0.0,0.0,0.0,3.8411834239959717,0.0,597,520,520,1.0,0,0.0,0.8710217755443886,0.0,0.0019230769230769232,0.9999999999999998,9.221587121264804,9.022367813028453,42671977361650,13.630142767943825,1.3990446117374763e-11,1.2185983217813863e-11,0.0,0,0.0,7.275031981034877e-09,1.3990446117374763e-11,0.0
19,631,520,0.3224828243255615,3.918553113937378,4.152811765670776,4.345167446136474,12.877621542654062,3.8833301067352295,0.010464292485266924,14.0,0,0.0,0.01730769230769231,sample_18474,1.0,1.0,1.0,0.0,0.0,0.0,3.5585103034973145,0.0,631,520,520,1.0,0,0.0,0.8240887480190174,0.0,0.0019230769230769232,1.0,9.301496194982551,9.022367813028453,76360380541900,13.882868084033252,8.263447556468915e-12,6.8098141511312765e-12,0.0,0,0.0,4.296992729363836e-09,8.263447556468915e-12,0.0
20,638,520,0.332688644528389,4.023881340026856,4.1796956062316895,4.347184133529663,12.563385240144642,3.8994266986846924,0.010388791095465422,14.0,0,0.0,0.011538461538461539,sample_19616,1.0,1.0,1.0,0.0,0.0,0.0,3.6849805116653442,0.0,638,520,520,1.0,0,0.0,0.8150470219435737,0.0,0.0019230769230769232,1.0,9.317412613764866,9.022367813028453,125994627894135,14.100352028247158,5.063707958533513e-12,4.127160091594713e-12,0.0,0,0.0,2.633128138437427e-09,5.063707958533513e-12,0.0
